sample_id,class_id,label,signer_id,repetition,path,set
01AcontecerSinalizador01-1,01,Acontecer,01,1,raw/01AcontecerSinalizador01-1.mp4,train
01AcontecerSinalizador01-2,01,Acontecer,01,2,raw/01AcontecerSinalizador01-2.mp4,train
01AcontecerSinalizador01-3,01,Acontecer,01,3,raw/01AcontecerSinalizador01-3.mp4,train
01AcontecerSinalizador01-4,01,Acontecer,01,4,raw/01AcontecerSinalizador01-4.mp4,train
01AcontecerSinalizador01-5,01,Acontecer,01,5,raw/01AcontecerSinalizador01-5.mp4,train
02AlunoSinalizador01-1,02,Aluno,01,1,raw/02AlunoSinalizador01-1.mp4,train
02AlunoSinalizador01-2,02,Aluno,01,2,raw/02AlunoSinalizador01-2.mp4,train
02AlunoSinalizador01-3,02,Aluno,01,3,raw/02AlunoSinalizador01-3.mp4,train
02AlunoSinalizador01-4,02,Aluno,01,4,raw/02AlunoSinalizador01-4.mp4,train
02AlunoSinalizador01-5,02,Aluno,01,5,raw/02AlunoSinalizador01-5.mp4,train
03AmareloSinalizador01-1,03,Amarelo,01,1,raw/03AmareloSinalizador01-1.mp4,train
03AmareloSinalizador01-2,03,Amarelo,01,2,raw/03AmareloSinalizador01-2.mp4,train
03AmareloSinalizador01-3,03,Amarelo,01,3,raw/03AmareloSinalizador01-3.mp4,train
03AmareloSinalizador01-4,03,Amarelo,01,4,raw/03AmareloSinalizador01-4.mp4,train
03AmareloSinalizador01-5,03,Amarelo,01,5,raw/03AmareloSinalizador01-5.mp4,train
04AmericaSinalizador01-1,04,America,01,1,raw/04AmericaSinalizador01-1.mp4,train
04AmericaSinalizador01-2,04,America,01,2,raw/04AmericaSinalizador01-2.mp4,train
04AmericaSinalizador01-3,04,America,01,3,raw/04AmericaSinalizador01-3.mp4,train
04AmericaSinalizador01-4,04,America,01,4,raw/04AmericaSinalizador01-4.mp4,train
04AmericaSinalizador01-5,04,America,01,5,raw/04AmericaSinalizador01-5.mp4,train
05AproveitarSinalizador01-1,05,Aproveitar,01,1,raw/05AproveitarSinalizador01-1.mp4,train
05AproveitarSinalizador01-2,05,Aproveitar,01,2,raw/05AproveitarSinalizador01-2.mp4,train
05AproveitarSinalizador01-3,05,Aproveitar,01,3,raw/05AproveitarSinalizador01-3.mp4,train
05AproveitarSinalizador01-4,05,Aproveitar,01,4,raw/05AproveitarSinalizador01-4.mp4,train
05AproveitarSinalizador01-5,05,Aproveitar,01,5,raw/05AproveitarSinalizador01-5.mp4,train
06BalaSinalizador01-1,06,Bala,01,1,raw/06BalaSinalizador01-1.mp4,train
06BalaSinalizador01-2,06,Bala,01,2,raw/06BalaSinalizador01-2.mp4,train
06BalaSinalizador01-3,06,Bala,01,3,raw/06BalaSinalizador01-3.mp4,train
06BalaSinalizador01-4,06,Bala,01,4,raw/06BalaSinalizador01-4.mp4,train
06BalaSinalizador01-5,06,Bala,01,5,raw/06BalaSinalizador01-5.mp4,train
07BancoSinalizador01-1,07,Banco,01,1,raw/07BancoSinalizador01-1.mp4,train
07BancoSinalizador01-2,07,Banco,01,2,raw/07BancoSinalizador01-2.mp4,train
07BancoSinalizador01-3,07,Banco,01,3,raw/07BancoSinalizador01-3.mp4,train
07BancoSinalizador01-4,07,Banco,01,4,raw/07BancoSinalizador01-4.mp4,train
07BancoSinalizador01-5,07,Banco,01,5,raw/07BancoSinalizador01-5.mp4,train
08BanheiroSinalizador01-1,08,Banheiro,01,1,raw/08BanheiroSinalizador01-1.mp4,train
08BanheiroSinalizador01-2,08,Banheiro,01,2,raw/08BanheiroSinalizador01-2.mp4,train
08BanheiroSinalizador01-3,08,Banheiro,01,3,raw/08BanheiroSinalizador01-3.mp4,train
08BanheiroSinalizador01-4,08,Banheiro,01,4,raw/08BanheiroSinalizador01-4.mp4,train
08BanheiroSinalizador01-5,08,Banheiro,01,5,raw/08BanheiroSinalizador01-5.mp4,train
09BarulhoSinalizador01-1,09,Barulho,01,1,raw/09BarulhoSinalizador01-1.mp4,train
09BarulhoSinalizador01-2,09,Barulho,01,2,raw/09BarulhoSinalizador01-2.mp4,train
09BarulhoSinalizador01-3,09,Barulho,01,3,raw/09BarulhoSinalizador01-3.mp4,train
09BarulhoSinalizador01-4,09,Barulho,01,4,raw/09BarulhoSinalizador01-4.mp4,train
09BarulhoSinalizador01-5,09,Barulho,01,5,raw/09BarulhoSinalizador01-5.mp4,train
10CincoSinalizador01-1,10,Cinco,01,1,raw/10CincoSinalizador01-1.mp4,train
10CincoSinalizador01-2,10,Cinco,01,2,raw/10CincoSinalizador01-2.mp4,train
10CincoSinalizador01-3,10,Cinco,01,3,raw/10CincoSinalizador01-3.mp4,train
10CincoSinalizador01-4,10,Cinco,01,4,raw/10CincoSinalizador01-4.mp4,train
10CincoSinalizador01-5,10,Cinco,01,5,raw/10CincoSinalizador01-5.mp4,train
11ConhecerSinalizador01-1,11,Conhecer,01,1,raw/11ConhecerSinalizador01-1.mp4,train
11ConhecerSinalizador01-2,11,Conhecer,01,2,raw/11ConhecerSinalizador01-2.mp4,train
11ConhecerSinalizador01-3,11,Conhecer,01,3,raw/11ConhecerSinalizador01-3.mp4,train
11ConhecerSinalizador01-4,11,Conhecer,01,4,raw/11ConhecerSinalizador01-4.mp4,train
11ConhecerSinalizador01-5,11,Conhecer,01,5,raw/11ConhecerSinalizador01-5.mp4,train
12EspelhoSinalizador01-1,12,Espelho,01,1,raw/12EspelhoSinalizador01-1.mp4,train
12EspelhoSinalizador01-2,12,Espelho,01,2,raw/12EspelhoSinalizador01-2.mp4,train
12EspelhoSinalizador01-3,12,Espelho,01,3,raw/12EspelhoSinalizador01-3.mp4,train
12EspelhoSinalizador01-4,12,Espelho,01,4,raw/12EspelhoSinalizador01-4.mp4,train
12EspelhoSinalizador01-5,12,Espelho,01,5,raw/12EspelhoSinalizador01-5.mp4,train
13EsquinaSinalizador01-1,13,Esquina,01,1,raw/13EsquinaSinalizador01-1.mp4,train
13EsquinaSinalizador01-2,13,Esquina,01,2,raw/13EsquinaSinalizador01-2.mp4,train
13EsquinaSinalizador01-3,13,Esquina,01,3,raw/13EsquinaSinalizador01-3.mp4,train
13EsquinaSinalizador01-4,13,Esquina,01,4,raw/13EsquinaSinalizador01-4.mp4,train
13EsquinaSinalizador01-5,13,Esquina,01,5,raw/13EsquinaSinalizador01-5.mp4,train
14FilhoSinalizador01-1,14,Filho,01,1,raw/14FilhoSinalizador01-1.mp4,train
14FilhoSinalizador01-2,14,Filho,01,2,raw/14FilhoSinalizador01-2.mp4,train
14FilhoSinalizador01-3,14,Filho,01,3,raw/14FilhoSinalizador01-3.mp4,train
14FilhoSinalizador01-4,14,Filho,01,4,raw/14FilhoSinalizador01-4.mp4,train
14FilhoSinalizador01-5,14,Filho,01,5,raw/14FilhoSinalizador01-5.mp4,train
15MacaSinalizador01-1,15,Maca,01,1,raw/15MacaSinalizador01-1.mp4,train
15MacaSinalizador01-2,15,Maca,01,2,raw/15MacaSinalizador01-2.mp4,train
